Име на фирмата / Студиото,Тип / Категория,Локация (София),Управител / Контакт,Телефон,Имейл,Уебсайт / Профил,Специализация
Cache Atelier,Интериорно & Архитектурно студио,"София, Център",Мила Иванова / Цветомир Павлов,+359 88 884 1007,office@cacheatelier.net,https://cacheatelier.net,"Офиси, луксозни жилища, комплексни инсталации"
ALL'Studio (Студио АЛЛ),Интериорен дизайн и архитектура,"София, кв. Лозенец",арх. Илиян Костов,+359 88 942 2252,contact@all.bg,https://all.bg,"Луксозен интериор, скрито LED осветление, умен дом"
DA Architects,Архитектурно студио,"София, кв. Изток",арх. Мартин Ряшев,+359 88 770 0984,office@daarchitects.eu,https://daarchitects.eu,Модерни жилищни сгради и премиум апартаменти
Studio Novo,Интериорен дизайн,"София, бул. България",арх. Светослав Кънчев,+359 88 450 1800,hello@novostudio.bg,https://novostudio.bg,"Дизайнерско осветление, автоматизация, висок клас"
Mode Design Studio,Интериорен дизайн,"София, кв. Витоша",Светослав Тодоров,+359 88 831 2280,studio@mode.bg,https://mode.bg,"Светлинен дизайн, умни ключове, премиум проекти"
City Design Development,Архитектура & Интериор,"София, кв. Драгалевци",арх. Димитър Димитров,+359 88 820 4433,office@cdd.bg,https://cdd.bg,"Къщи и вили в полите на Витоша, солари, сигурност"
KALLI Design,Студио за интериорен дизайн,"София, кв. Манастирски ливади",Калина Панайотова,+359 88 560 3020,info@kallidesign.bg,https://kallidesign.bg,"Пълна реализация на апартаменти, електро по проект"
Bozhinov Design,Интериорна архитектура,"София, кв. Стрелбище",Владимир Божинов,+359 88 732 9940,contact@bozhinovdesign.com,https://bozhinovdesign.com,"Жилищни ремонти от висок клас, смарт осветление"
Studio 84,Архитектура и дизайн,"София, кв. Оборище",арх. Николай Петров,+359 88 610 2030,office@studio84.bg,https://studio84.bg,"Апартаменти ново строителство, камери и слаботокови инсталации"
Fama Consulting & Design,Проектиране & Интериор,"София, кв. Белите брези",Елена Стоянова,+359 88 920 1144,office@famadesign.bg,https://famadesign.bg,"Цялостен инженеринг и интериор, видеонаблюдение"
Про Арм ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=8308,ЕИК: 131453327 | Строежи от високо строителство и инфраструктура
Инфинити Пропърти ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=2463,ЕИК: 131213759 | Строежи от високо строителство и инфраструктура
Брайт Инженеринг ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=6469,ЕИК: 103327353 | Строежи от високо строителство и инфраструктура
КрасБиВал ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=466,ЕИК: 131382104 | Строежи от високо строителство и инфраструктура
Минстрой Холдинг АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=4660,ЕИК: 831493848 | Строежи от високо строителство и инфраструктура
Старт инженеринг АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=1879,ЕИК: 030217255 | Строежи от високо строителство и инфраструктура
Бигла III ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=2052,ЕИК: 121094769 | Строежи от високо строителство и инфраструктура
ПМУ АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=914,ЕИК: 102226538 | Строежи от високо строителство и инфраструктура
КАРО ТРЕЙДИНГ ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=6596,ЕИК: 131070485 | Строежи от високо строителство и инфраструктура
МИРИКАЛ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=5927,ЕИК: 130530653 | Строежи от високо строителство и инфраструктура
Техно Строй България ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=7885,ЕИК: 175410402 | Строежи от високо строителство и инфраструктура
